ecli,indegree,outdegree,page_rank,hub_score,initial_hub_score,hub_rank,authority,betweenness,info_map
ECLI:EU:C:1977:190,2,1,5.3688371063997805e-5,2.293338584202386e-11,0,8.202443051518902e-5,1.9318869557504945e-14,368.9205870460678,1
ECLI:EU:C:1977:196,1,1,3.2503951849591934e-5,1.7562729684327466e-10,0,4.207298982191087e-5,9.043063275830972e-11,230.83759315870478,1
ECLI:EU:C:1977:207,1,2,3.723096777429225e-5,4.6646132401139235e-9,3.7416232273770784e-17,5.6416461382201247e-05,8.649206009393569e-10,248.98907927616864,25
ECLI:EU:C:1978:17,0,1,3.158932163607213e-5,2.0581340627166015e-10,0,0,2.948429284573913e-17,0,38
ECLI:EU:C:1978:19,19,3,6.691321519548294e-5,1.3781695633599764e-7,3.1325217717575523e-17,0.001090283486942379,9.208668319407451e-7,7979.576102124782,25
ECLI:EU:C:1978:26,4,1,3.900570970696789e-5,6.450523038744057e-8,0,1.8390205467685235e-4,7.727373868583454e-9,561.6284028073544,9
ECLI:EU:C:1978:54,0,2,3.158932163607213e-5,1.6973593897298116e-17,0,0,5.896858569147827e-17,0,193
ECLI:EU:C:1978:59,0,1,3.158932163607213e-5,8.563600540944525e-18,0,0,2.948429284573913e-17,0,42
ECLI:EU:C:1978:75,1,1,3.491099602895684e-5,1.712720108188905e-17,6.178029049855182e-17,3.321674392884708e-5,4.485883790721535e-11,18,228
ECLI:EU:C:1978:87,3,1,4.547162443344268e-5,2.033866649013169e-14,3.828637721037e-17,1.0250385516790724e-4,9.249330487585354e-11,2048,2
ECLI:EU:C:1978:130,8,4,4.7495551838483036e-5,1.6842932676827126e-10,2.088349588746617e-17,3.592473510224841e-4,4.291349983215035e-9,8707.139514087361,1
ECLI:EU:C:1978:133,3,1,3.99118897155972e-5,1.5292620622954168e-8,0,1.929386244460647e-4,2.6181177254190644e-7,158.42131759682067,2
ECLI:EU:C:1978:144,2,1,3.386762698414993e-5,4.4853640290966945e-11,1.2182039267688563e-17,9.065924118712371e-5,1.5599760141987177e-9,403.9654159849811,1
ECLI:EU:C:1978:145,5,3,5.639070976381187e-5,2.6392632849229547e-13,1.2182039267688563e-17,1.7713011552991702e-4,8.208030572907113e-12,233.3469660449742,51
ECLI:EU:C:1978:150,1,1,3.6854208575417486e-5,1.8715729781336185e-14,0,3.158932163607213e-5,1.5285864197183127e-12,1,2
ECLI:EU:C:1978:151,0,1,3.158932163607213e-5,1.8707127778999093e-14,0,0,2.948429284573913e-17,0,2
ECLI:EU:C:1978:182,6,1,4.851694243572426e-5,7.835048085210045e-11,5.220873971866567e-18,2.1506447210607076e-4,1.1708044749420227e-8,202.2549376438823,2
ECLI:EU:C:1978:205,8,1,1.095115797398412e-4,1.374318319333677e-11,7.749510670510275e-17,3.7282573711519665e-4,1.5416503606759593e-8,4713.585798665668,60
ECLI:EU:C:1978:214,22,2,1.406578960978472e-4,1.9452308796172842e-11,1.1396339221338546e-17,0.0016792041428807158,2.9169287673864516e-8,11468.27521223691,3
ECLI:EU:C:1978:216,0,2,3.158932163607213e-5,3.5680013155477923e-10,0,0,5.896858569147827e-17,0,1
ECLI:EU:C:1978:219,0,1,3.158932163607213e-5,1.8996004779776529e-10,0,0,2.948429284573913e-17,0,257
ECLI:EU:C:1979:14,38,1,1.2599746188471722e-4,1.3528963962991764e-8,0,0.0017272679099699514,4.483080919293367e-6,1959.6615658141495,22
ECLI:EU:C:1979:28,27,1,1.3632498583918172e-4,2.3716949300840084e-16,4.216645511895288e-17,0.0014027681771984154,4.0876440107020664e-7,7063,2
ECLI:EU:C:1979:36,137,2,2.922050385224892e-4,1.2613231111838789e-7,2.5071946286944828e-17,0.007110369436384752,1.3386246819443686e-5,10404.592920134573,25
ECLI:EU:C:1979:38,9,2,5.835353166358085e-5,9.22979860263288e-8,2.5071946286944828e-17,3.1126358905577236e-4,1.3238404107137625e-6,6686.518329768409,9
ECLI:EU:C:1979:45,0,1,3.158932163607213e-5,4.895767922309829e-11,1.595487490987399e-17,0,2.948429284573913e-17,0,13
ECLI:EU:C:1979:51,0,1,3.158932163607213e-5,8.563600540944525e-18,0,0,2.948429284573913e-17,0,283
ECLI:EU:C:1979:53,0,2,3.158932163607213e-5,9.88508231994854e-8,5.812133002882708e-17,0,5.896858569147827e-17,0,300
ECLI:EU:C:1979:64,1,2,3.8076148811915325e-5,7.842828012616643e-12,0,5.1894617406745556e-5,5.503882257574303e-11,3032.6202954958944,3
ECLI:EU:C:1979:65,6,4,5.525263089887192e-5,1.2369660927876516e-11,0,3.268537860746752e-4,2.2523968976899922e-10,26301.58689887865,3
ECLI:EU:C:1979:85,7,1,4.576746513286804e-5,1.2877718255645974e-7,0,2.650449014943968e-4,1.2893819663490946e-6,344.24136903864303,9
ECLI:EU:C:1979:90,1,2,3.3326208281132534e-5,3.7786577880422126e-8,0,4.8632826061691264e-5,6.462608841032307e-10,784.9415475124251,1
ECLI:EU:C:1979:101,4,1,7.94569935194302e-5,7.929519299384228e-13,7.759811281499603e-17,3.2103961042323725e-4,9.3498739514861e-10,137.74446884388334,4
ECLI:EU:C:1979:110,1,1,5.222020295164618e-5,2.2933377393628706e-11,3.5375610253895286e-17,4.12617626311481e-5,5.891263826672354e-17,54.67570545925737,1
ECLI:EU:C:1979:129,7,1,4.190975603306712e-5,6.85088043275562e-17,0,4.1330234386963214e-4,3.1264947888137944e-7,6640,177
ECLI:EU:C:1979:131,1,3,3.9486652045090164e-5,2.2328619609999635e-11,0,3.158932163607213e-5,1.2666496964469336e-16,2,42
ECLI:EU:C:1979:139,9,1,5.329916337048187e-5,9.649185524460335e-12,2.3964123075219175e-17,4.3458129762706315e-4,5.109589283782396e-10,435.3049932443656,2
ECLI:EU:C:1979:144,5,1,1.308896348134632e-4,4.868118894055854e-15,2.3964123075219175e-17,2.992162917132131e-4,3.9918375667645504e-13,8030,40
ECLI:EU:C:1979:164,11,5,6.488486949098131e-5,1.3079033585020006e-9,0,4.6467454015776557e-4,2.8336902657752728e-8,1663.1695485067562,15
ECLI:EU:C:1979:181,0,4,3.158932163607213e-5,3.317915187164157e-17,0,0,1.1793717138295653e-16,0,157
ECLI:EU:C:1979:193,2,2,3.3681780296387445e-5,6.065852873664576e-9,0,1.3580353391042346e-4,6.471012284680881e-7,3510,32
ECLI:EU:C:1979:194,1,4,3.314503260978576e-5,1.96336494507273e-10,0,3.422564142169978e-5,3.212268253855408e-11,2578.588361294395,2
ECLI:EU:C:1979:196,2,4,3.8717820310362276e-5,3.3751246469932037e-13,0,7.128498674290146e-5,1.578478263059859e-14,227.3469660449742,51
ECLI:EU:C:1979:215,30,2,1.7124418028784902e-4,9.177844950686748e-12,7.417466666205276e-17,0.0017806904242387268,1.7376088485700417e-6,9424.787487673284,21
ECLI:EU:C:1979:216,14,1,6.289157895917869e-5,1.8402871146877961e-9,0,7.27647485629223e-4,3.2013625513815296e-6,2882.169568732429,4
ECLI:EU:C:1979:219,0,1,3.158932163607213e-5,8.563600540944525e-18,0,0,2.948429284573913e-17,0,286
ECLI:EU:C:1979:223,61,2,1.013716864760894e-4,9.240899667475275e-8,0,0.002953760303362078,0.004979308531554062,4790.988657403131,9
ECLI:EU:C:1979:225,3,3,4.434160121745203e-5,1.2637309462593675e-9,0,1.2200877583240516e-4,5.39628442988207e-10,8340.175684817992,32
ECLI:EU:C:1979:226,11,2,5.77950201409437e-5,2.210657253927934e-7,0,7.442626195657635e-4,5.592130397152012e-6,3200.755713703608,9
ECLI:EU:C:1979:235,1,1,3.356365423832664e-5,1.712720108188905e-17,6.390432820117702e-17,3.158932163607213e-5,1.533206647010963e-10,1,32
ECLI:EU:C:1979:238,0,5,3.158932163607213e-5,3.3764364523496105e-13,1.141148717878146e-18,0,1.474774116534504e-16,0,51
ECLI:EU:C:1979:243,4,1,8.056634448787466e-5,8.007166081453782e-10,0,2.707574253381559e-4,4.436634869449455e-10,1051.9975657458754,36
ECLI:EU:C:1979:245,3,1,4.6202212481721334e-5,6.441452439349672e-8,0,1.3690607198478403e-4,2.843177099693928e-7,44.367887076150964,1
ECLI:EU:C:1979:258,6,2,5.855594615949311e-5,6.789058763602045e-12,0,2.9873133217047575e-4,1.3784062582449271e-9,3239.1597317388478,97
ECLI:EU:C:1979:260,0,1,3.158932163607213e-5,8.563600540944525e-18,5.933973332966437e-17,0,2.948429284573913e-17,0,263
ECLI:EU:C:1979:273,0,2,3.158932163607213e-5,1.270352641641431e-7,1.939952820392848e-17,0,5.896858569147827e-17,0,1
